"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\CourseDetailsStudent.module.css", "CSS", 0, 118, 0, 0, 22, 140
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\ExamDetailsStudent.js", "JavaScript", 133, 0, 0, 0, 15, 148
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\ExamDetailsStudent.module.css", "CSS", 0, 45, 0, 0, 8, 53
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\Grades\GradeDetailsStudent.js", "JavaScript", 88, 0, 0, 0, 6, 94
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\Grades\GradeDetailsStudent.module.css", "CSS", 0, 12, 0, 0, 2, 14
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\Grades\GradeStudent.js", "JavaScript", 57, 0, 0, 0, 7, 64
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\Grades\GradeStudent.module.css", "CSS", 0, 43, 0, 0, 9, 52
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\LessonDetailsStudent.js", "JavaScript", 69, 0, 0, 0, 6, 75
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\LessonDetailsStudent.module.css", "CSS", 0, 28, 0, 0, 9, 37
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\MyAssignmentsStudent.js", "JavaScript", 98, 0, 0, 0, 6, 104
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\MyAssignmentsStudent.module.css", "CSS", 0, 84, 0, 0, 17, 101
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\MyCoursesStudent.js", "JavaScript", 72, 0, 0, 0, 7, 79
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\MyCoursesStudent.module.css", "CSS", 0, 66, 0, 0, 13, 79
